C_ID,T_ID,Text,Completion
47,0,투자성향이 'PeqV'인데 맞춤 종목 추천해줘.,"PeqV유형인 종목은
'한신공영', '한온시스템', '현대건설', 'KCC건설' 입니다."
48,0,투자성향이 'PeqV'인데 맞춤 종목 추천해줘.,"PeqV유형인 종목은
'도이치모터스', '애머릿지', '카카오게임즈', '탑코미디어' 입니다."
49,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'HD현대일렉트릭', 'JW중외제약', 'PI첨단소재', '더존비즈온', '덴티움' 입니다."
50,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'삼성SDI', '이수페타시스', '일진전기', '종근당', '크래프톤' 입니다."
51,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'하이브', '한미반도체', '한전기술', '한진칼', 'GST' 입니다."
52,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'HPSP', 'ISC', 'SOOP', '고영', '나노신소재', '대보마그네틱' 입니다."
53,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'동진쎄미켐', '디아이티', '디앤씨미디어', '디어유', '리가켐바이오' 입니다."
54,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'리노공업', '브이티', '비즈니스온', '삼천당제약', '세경하이테크' 입니다."
55,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'실리콘투', '알테오젠', '에스앤에스텍', '에스엠', '에스티아이' 입니다."
56,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'에스티팜', '에코프로에이치엔', '오하임앤컴퍼니', '이오테크닉스', '잉글우드랩' 입니다."
57,0,투자성향이 'pEQv'인데 맞춤 종목 추천해줘.,"pEQv유형인 종목은
'제룡전기', '제이시스메디칼', '제이앤티씨', '주성엔지니어링', '파마리서치', '한국비엔씨' 입니다."
58,0,투자성향이 'pEqV'인데 맞춤 종목 추천해줘.,"pEqV유형인 종목은
'제주항공', '진에어', '코스맥스', '티웨이항공', '하나투어' 입니다."
59,0,투자성향이 'pEqV'인데 맞춤 종목 추천해줘.,"pEqV유형인 종목은
'한국항공우주', '한샘', '노랑풍선', '다원시스', '모두투어', '이큐셀' 입니다."
60,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'GS', 'KPX홀딩스', 'KT&G', 'LF', 'LG생활건강' 입니다."
61,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'LX세미콘', 'SNT모티브', '강원랜드', '경동나비엔', '광동제약' 입니다."
62,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'교촌에프앤비', '농심', '대원제약', '동서', '동화약품', '무학' 입니다."
63,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'보령', '비에이치', '삼성에스디에스', '삼성전자', '삼진제약' 입니다."
64,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'신세계인터내셔날', '애경산업', '엠씨넥스', '영원무역', '오뚜기' 입니다."
65,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'유나이티드제약', '일양약품', '제일기획', '파라다이스', '한국타이어앤테크놀로지' 입니다."
66,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'한섬', '한세실업', '한전KPS', '한화시스템', '현대홈쇼핑' 입니다."
67,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'환인제약', 'HK이노엔', 'KG모빌리언스', 'KG이니시스', 'KH바텍' 입니다."
68,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'골프존', '네오위즈', '대봉엘에스', '동구바이오제약', '동국제약' 입니다."
69,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'동원개발', '바텍', '성광벤드', '세중', '아이텍' 입니다."
70,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'안국약품', '에스앤디', '에스에프에이', '에프앤가이드', '오성첨단소재' 입니다."
71,0,투자성향이 'peQV'인데 맞춤 종목 추천해줘.,"peQV유형인 종목은
'월덱스', '인바디', '진성티이씨', '참좋은여행', '파트론', '현대바이오랜드' 입니다."
72,0,투자성향이 'Peqv'인데 맞춤 종목 추천해줘.,"Peqv유형인 종목은
'HD한국조선해양', 'LG디스플레이', 'LS', 'SKC', 'SK이노베이션' 입니다."
73,0,투자성향이 'Peqv'인데 맞춤 종목 추천해줘.,"Peqv유형인 종목은
'이마트', '진원생명과학', '코리아써키트', '키다리스튜디오', '태영건설' 입니다."
