,기업코드,기업명,수익성,효율성,퀄리티,변동성,종목분류지표,index_set,index_num,news_date,news_summary
27,7070,GS리테일,P,e,q,V,PeqV,"[160, 181, 384, 427]",181,2024-07-25 15:21:13,"뉴스 풀이: 
2024년 파리 올림픽이 곧 개막하지만, 올림픽 수혜주로 예상되는 광고, 방송, 치킨, 편의점 등의 주가가 오르지 않고 있습니다. 이는 올림픽이 열리는 프랑스와 한국의 시차가 7시간이나 나서 대부분의 경기가 새벽이나 밤에 진행되기 때문입니다. 또한, 인기 있는 종목들이 예선에서 일찍 탈락한 것도 한 가지 이유입니다.

용어 설명 : 
*시차: 지구 상의 한 지점과 다른 지점 사이의 시간 차이를 의미합니다.
*종목: 스포츠 경기에서 경쟁하는 분야를 말합니다.
*주가: 주식 가격을 의미합니다. 주식 가격은 기업의 실적, 경제 상황, 시장 동향 등 다양한 요인에 따라 변동합니다.

기사에서 말하고자 하는 증권 또는 주식의 방향성: 
이 기사에서는 올림픽 수혜주로 예상되는 종목들의 주가가 오르지 않고 있다는 것을 다루고 있습니다. 이는 올림픽 특수를 기대하기 어렵다는 전망이 반영된 것으로 보입니다. 따라서, 투자자들은 이러한 상황을 고려하여 신중하게 투자 결정을 내리는 것이 중요합니다."
31,294870,HDC현대산업개발,p,e,q,V,peqV,"[19, 427, 577, 745]",577,2024-07-23 05:20:00,"뉴스 풀이: 
상반기에 매우 안 좋았던 건설주가 최근 들어 다시 좋아지고 있어요. 금리가 내려갈 것이라는 기대감이 커지고 수도권의 집 가격이 올라가면서 투자자들의 마음을 움직이고 있어요. 하지만 증권가에서는 건설업 자체가 회복된 것은 아니라고 보고 있어요. 그래서 투자할 때는 잘 골라서 해야 한다고 해요.

용어 설명 : 
*건설주: 건설 회사의 주식
*금리: 돈을 빌렸을 때 내는 이자의 비율
*부동산: 땅이나 집과 같은 자산
*PF: 큰 규모의 사업을 할 때 필요한 자금을 모으는 방법
*브릿지론: PF 이전 단계의 임시 대출"
32,9540,HD한국조선해양,P,e,q,v,Peqv,"[15, 19, 27, 29, 50, 54, 57, 65, 71, 81, 268, 421, 460, 575, 603, 605, 754]",71,2024-07-26 09:32:12,"뉴스 풀이: 
조선 회사인 HD한국조선해양이 좋은 실적을 내면서 조선업이 잘 되고 있다는 것이 확인되어 조선 관련 주식들이 많이 오르고 있습니다. HD한국조선해양은 지난 2분기에 매출과 영업이익이 작년 같은 기간보다 많이 늘었으며, 이는 조선업의 호황으로 인한 것으로 분석됩니다.

용어 설명 : 
*조선주 : 조선업과 관련된 주식
*컨센서스 : 증권사들이 예상하는 평균치"
33,267250,HD현대,p,e,q,V,peqV,"[15, 164, 313]",164,2024-07-25 15:59:13,"뉴스 풀이 : 
올해 국내 주요 대기업 집단 중 시가총액 증가율이 가장 높은 곳은 HD현대그룹으로, 인공지능(AI) 시대가 본격화되면서 이를 감당할 전력 인프라 수요가 급증한 영향을 받았다. HD현대그룹의 시가총액은 연초 34조3150억원에서 61조6407억원으로 79.63% 급증했다. LS그룹도 57.56%늘었다. 반면, 이차전지 열풍에 힘입었던 포스코그룹은 올해 들어 이차전지 거품이 빠지며 30% 넘게 시총이 증발했고, 오너 리스크와 실적 악화 우려가 겹친 카카오그룹 시총도 15조원 가량 급감했다.

용어 설명 :
*캐즘(Chasm) : 원래 지각변동 등의 이유로 인해 지층 사이에 큰 틈이나 협곡이 발생되어 서로 단절됨을 의미하는 지질학 용어로, 마케팅에서는 제품이 출시된 후 대중에게 받아들여지기까지 일시적으로 수요가 정체되거나 후퇴하는 단절 현상을 의미한다."
34,267270,HD현대건설기계,p,e,Q,v,peQv,"[15, 305, 361, 391, 420, 468, 491, 506, 517, 605, 614, 625, 640, 678, 708, 825, 849, 900]",420,2024-07-24 05:13:00,"뉴스 풀이 : 미국 대선에서 도널드 트럼프 전 대통령의 당선이 유력해지면서 우크라이나 재건주가 상승했습니다. 이는 트럼프 전 대통령이 러시아-우크라이나 전쟁을 종식시키겠다는 공약을 내세웠기 때문입니다. 그러나 카멀라 해리스 미국 부통령이 급부상하면서 일부 차익 실현 물량이 나오기도 했습니다. 그럼에도 불구하고, 전쟁이 길어질수록 재건 수요가 늘어날 것으로 예상되기 때문에, 장기적으로 주목할 필요가 있습니다.

용어 설명 : 
*우크라이나 재건주 : 러시아-우크라이나 전쟁으로 인해 파괴된 우크라이나의 인프라 및 건물 등을 재건하는데 필요한 중장비, 건설 자재 등을 생산하는 기업들의 주식을 말합니다.
*트럼프 트레이드 : 미국 대선에서 도널드 트럼프 전 대통령이 당선될 경우, 그의 정책으로 인해 수혜를 받을 것으로 예상되는 업종이나 종목에 투자하는 것을 말합니다.
*볼로디미르 젤렌스키 : 우크라이나의 대통령으로, 러시아와의 전쟁을 이끌고 있습니다.
*크롤러굴착기 : 땅을 파거나 깎는 등의 작업을 수행하는 중장비로, 주로 건설 현장에서 사용됩니다.

기사에서 말하고자 하는 증권 또는 주식의 긍정/부정/중립 : 
우크라이나 재건주는 미국 대선 결과에 따라 변동성이 커질 수 있지만, 장기적으로는 전쟁 종결 및 재건 수요 증가로 인해 긍정적인 전망이 예상됩니다."
35,10620,HD현대미포,P,E,q,v,PEqv,"[15, 19, 27, 50, 54, 57, 65, 71, 81, 433, 460, 754]",65,2024-07-26 11:25:07,"뉴스 풀이: 
HD현대그룹 조선 계열사들의 주가가 하반기에도 강세를 보이고 있으며 국내외 증권사들은 조선업이 아직 장기 호황의 초입 단계이기 때문에 주가가 더 오를 수 있다고 보고 있습니다. 
국내외 증권사들은 HD현대그룹 조선 계열사들의 이익 증가가 예상보다 가파르다고 평가하며, 국내 증권사들도 이들 기업의 목표주가를 상향 조정하고 있습니다. 
이러한 긍정적인 전망은 조선 업황 개선에 대한 기대감에 따른 것입니다. 먼저 대형 선박을 건조할 조선소가 줄어들었고, 선박 발주 수요가 쌓여있는 상황입니다. 이에 따라 선박을 새로 건조하는 비용이 지속적으로 상승하고 있으며, 조선사 수익성이 좋아지고 있습니다.

용어 설명 : 
*수퍼 사이클(Super-cycle) : 장기적인 가격 상승 추세를 의미합니다.
*신조선가 : 새로 건조하는 선박의 가격을 의미합니다.
*클락슨리서치 : 영국의 조선·해운 시황 분석기관입니다.
*액화천연가스(LNG) : 기체 상태의 천연가스를 액체 상태로 만든 것으로, 주로 발전용, 난방용, 수송용으로 사용됩니다.
*액화석유가스(LPG) : 기체 상태의 석유 가스를 액체 상태로 만든 것으로, 주로 수송용으로 사용됩니다.

기사에서 말하고자 하는 증권 또는 주식의 긍정/부정/중립 : 
긍정 : 국내외 증권사들은 조선업이 아직 장기 호황의 초입 단계이기 때문에 주가가 더 오를 수 있다고 보고 있으며, 국내 증권사들도 이들 기업의 목표주가를 상향 조정하고 있습니다.
부정 : 주가가 이미 빠르게 올랐는데, 과연 여기서 더 오를 여력이 있는지가 관건입니다. 
중립 : 영업이익률이 지속적으로 오르기 어려울 수 있다는 전망도 있습니다."
37,42670,HD현대인프라코어,p,e,q,v,peqv,"[15, 420, 506, 569, 605, 614, 625, 640, 678, 849]",849,2024-07-23 14:38:52,"뉴스 풀이 : 미국 대선에서 도널드 트럼프 전 대통령이 우세한 상황이 되자, 우크라이나 재건 관련 주식들이 크게 올랐습니다. 트럼프 전 대통령이 당선되면 러시아와 우크라이나 전쟁을 끝낼 것이라는 기대감 때문입니다. 하지만 카멀라 해리스 미국 부통령이 트럼프 전 대통령과 여론조사에서 박빙을 보이자, 올랐던 주식들이 다시 내려갔습니다.

용어 설명 : 
*우크라이나 재건주 : 러시아-우크라이나 전쟁으로 인해 파괴된 우크라이나의 인프라 시설 등을 재건하는데 필요한 중장비나 건축 자재 등을 생산하는 기업들의 주식을 말합니다.

*트럼프 트레이드 : 미국 대선에서 도널드 트럼프 전 대통령이 승리할 경우, 주식 시장이 상승할 것이라는 기대감에 투자하는 것을 말합니다."
38,267260,HD현대일렉트릭,p,E,Q,v,pEQv,"[15, 144, 227, 228, 323, 337, 346, 351, 363, 376, 383, 398, 426, 456, 465, 495, 499, 796, 797]",144,2024-07-25 17:56:09,"뉴스 풀이: 
25일, 코스피 대부분의 업종이 하락하며 검은 목요일을 맞이했습니다. 특히 SK하이닉스는 어닝서프라이즈 수준의 2분기 실적에도 불구하고 8.87%나 빠졌습니다. 이는 미국 빅테크 기업들의 실적이 시장 기대치에 미치지 못하며 AI 산업에 대한 우려가 커졌기 때문입니다. 
외국인과 기관은 많은 양의 주식을 매도했고, 개인 투자자들은 이를 사들였습니다. 외국인은 이달 들어 많은 양의 주식을 사들였지만, 트럼프 전 대통령의 피격 사건 이후 매도세로 돌아섰습니다. 
전문가들은 미국 대선의 불확실성과 빅테크 기업들의 실적에 대한 우려가 국내 증시에 영향을 미치고 있다고 말하며, 방어적인 투자 전략이 필요하다고 조언합니다.

용어 설명 : 
*검은 목요일: 미국 뉴욕 증권시장에서 주가 대폭락이 있었던 1929년 10월 24일과 29일을 일컫는 말로, 이날의 주가 대폭락은 대공황의 계기가 되었습니다.
*어닝서프라이즈: 기업이 시장에서 예상했던 것보다 훨씬 더 좋은 실적을 발표하는 것을 말합니다.
*차익실현: 이미 보유하고 있는 주식의 가격이 상승했을 때, 팔아서 이익을 얻는 것을 말합니다."
39,329180,HD현대중공업,P,E,q,v,PEqv,"[15, 18, 19, 27, 50, 54, 65, 71, 81, 95, 433, 460, 575, 603, 736, 754]",15,2024-07-26 17:39:10,"뉴스 풀이: 
HD현대 그룹의 시가총액이 올해 두 배 가까이 증가하며 대기업 집단 전체에서 5위가 되었다. 이는 지난해 말 8위에서 세 계단이나 오른 수준이다. 
이러한 시총 증가에는 5월 신규 상장한 HD현대마린솔루션의 시총이 더해진 점과 조선업의 부활, 트럼프 전 대통령의 재집권 가능성으로 건설 부문 계열사들의 주가가 상승한 점, AI 열풍으로 전력 기기 수요가 증가한 점이 주요 요인으로 작용했다.

용어 설명 : 
*시가총액 : 상장주식을 시가로 평가한 총액.
*트럼프 트레이드 : 트럼프 전 대통령의 정책에 수혜를 입을 것으로 예상되는 종목에 투자하는 것.
*캐즘 : 원래는 지질학 용어로, 지층이 움직이면서 생긴 큰 틈을 뜻하나, 경제에서는 제품이 출시된 후 대중에게 받아들여지기까지 시간이 걸리는 것을 의미함."
40,97230,HJ중공업,P,e,q,V,PeqV,"[50, 81]",81,2024-07-26 09:37:11,"뉴스 풀이 : 
조선 회사들의 주식 가격이 26일에 크게 올랐습니다. 이는 조선업이 좋아지고 있고, 미국 대통령 선거에서 트럼프 전 대통령이 당선되면 화석 연료에 대한 투자가 늘어날 것이라는 기대감 때문입니다. 
용어 설명 : 
*신조선가 지수 : 새로 건조되는 선박 가격을 지수화 한 것으로, 조선업의 수익성을 나타내는 대표적인 지표입니다.
*트럼프 트레이드 : 트럼프 전 대통령의 당선을 예상해 수혜주로 자금이 모이는 현상을 말합니다.

기사에서 말하고자 하는 증권 또는 주식의 긍정 : 조선 회사들의 주식 가격이 크게 올랐습니다. 이는 조선업이 좋아지고 있고, 미국 대통령 선거에서 트럼프 전 대통령이 당선되면 화석 연료에 대한 투자가 늘어날 것이라는 기대감 때문입니다."
45,11200,HMM,p,e,Q,v,peQv,"[94, 831]",831,2024-07-24 08:04:18,"뉴스 풀이: 
세계적인 컨테이너 회사들이 더 많은 배를 주문하고 있어요. 이는 조선업계에는 좋은 소식이지만, HMM에는 부담이 될 수 있어요. 컨테이너 회사들이 배를 늘리는 이유는 세계 컨테이너 시장의 변화 때문이에요.

용어 설명 : 
*선복 : 배 안에 물건을 실을 수 있는 공간을 말해요.
*오더북 : 배를 주문한 내역을 기록한 책이에요.
*TEU : 컨테이너의 크기를 나타내는 단위로, 20피트 컨테이너를 말해요."
50,1060,JW중외제약,p,E,Q,v,pEQv,[169],169,2024-07-25 15:57:12,"뉴스 풀이 : 
최근 원/달러 환율은 1,380원대 중후반대에서 방향성을 보이지 않고 있습니다. 연방기금금리 선물시장에 반영된 연준의 9월 기준금리 인하 기대는 90%를 넘긴 상황입니다. 이번 주에는 미국 2/4분기 실질 GDP 성장률과 PCE 물가가 발표될 예정입니다. 미국 GDP 성장률은 지난 분기보다 높아질 것으로 예상되며, PCE 물가는 5월보다 낮아질 것으로 보입니다. 이렇게 성장률이 나쁘지 않고 물가가 안정적으로 내려오는 것이 확인되면, 연준의 기준금리 인하 기대는 계속 지지 받을 것입니다. 

용어 설명 :
*연방기금금리 선물시장 : 연방기금금리의 미래 값을 예측하여 거래하는 시장
*OIS선도금리 : Overnight Index Swap의 약자로, 하루짜리 초단기 대출금리. 금융시장의 유동성을 파악하는 중요한 지표
*PCE 물가 : 개인소비지출 물가. 미국의 물가상승률을 나타내는 지표 중 하나"
52,2380,KCC,p,e,q,v,peqv,[94],94,2024-07-26 08:00:21,"뉴스 풀이 : 
미국 대선이 다가오는 가운데, 공화당 대선 후보인 도널드 트럼프 전 대통령이 '엔저 현상'을 비판하자 엔화 약세가 점차 완화되고 있습니다. 이에 엔화 반등에 대한 수혜를 기대할 수 있는 상장지수펀드(ETF)에 관심이 쏠리고 있습니다.

최근 한 달 동안 개인 투자자들은 미국 30년 국채에 투자하며 저평가된 엔화 상승에 베팅할 수 있는 'RISE 미국30년국채엔화노출(합성H)'을 129억원어치 순매수했습니다.

이는 트럼프 전 대통령이 엔화 약세를 문제삼자 엔화 가치가 상승세로 돌아선 영향으로 풀이됩니다.

그동안 '슈퍼 엔저'가 지속되면서 100엔당 850원대까지 추락했지만 해당 발언 이후 점차 오름세를 보이며 반등하기 시작했습니다. 전일 장중에는 911.13원까지 치솟았는데 이는 지난 2월 1일(912.82원) 이후 가장 높은 수준입니다.

업계에서는 각종 호재에 힘입어 엔화 강세가 일시적인 현상이 아닌 중장기적으로 이어질 것이란 전망이 우세합니다.

용어 설명 : 
*엔저 : 엔화의 가치가 떨어지는 현상
*상장지수펀드(ETF) : 특정 지수의 수익률을 추적하는 인덱스 펀드를 거래소에 상장시켜 주식처럼 거래할 수 있도록 한 펀드
*슈퍼 엔저 : 장기간 지속되는 엔화의 가치 하락 현상"
54,9070,KCTC,p,e,q,V,peqV,"[42, 763]",42,2024-07-26 15:45:09,"뉴스 풀이 : 
쿠팡이 경쟁사인 티몬과 위메프의 결제 서비스 문제로 인해 반사이익을 얻을 것이라는 기대감으로 쿠팡 관련 주식들이 상승했습니다. 쿠팡의 물류를 담당하는 KCTC와 운송사 동방, 쿠팡과 계약을 맺은 결제 서비스 제공업체인 갤럭시아머니트리, 헥토파이낸셜, 다날 등이 모두 상승했습니다. 이는 쿠팡의 실적이 개선되면 이들 기업도 함께 이익을 얻을 것이라는 기대감 때문입니다.

용어 설명 :
*티몬 사태 : 싱가포르 기반 전자상거래 플랫폼 큐텐 계열 온라인 쇼핑몰인 티몬과 위메프에서 정산 지연 문제가 발생한 사건
*낙수효과 : 대기업이나 부유층의 소득이 증가하면 그 영향이 아래 계층으로 확산되어 전체적으로 경기가 활성화되는 효과
*e커머스 : 인터넷을 통해 상품을 판매하고 구매하는 전자상거래
*나스닥 : 미국의 장외 주식시장
*유가증권시장 : 국내 증권시장의 대표적인 시장으로, 코스피(KOSPI) 지수를 기준으로 운영됨
*종합물류기업 : 다양한 물류 서비스를 제공하는 기업
*월간활성이용자수(MAU) : 한 달 동안 해당 서비스를 이용한 이용자의 수"
64,92230,KPX홀딩스,p,e,Q,V,peQV,[738],738,2024-07-22 06:57:13,"뉴스 풀이 : 
프로스펙스를 만든 KPX그룹이 승계 과정에서 꼼수를 부린다는 지적을 받고 있습니다. KPX그룹의 양규모 의장은 자신이 보유한 KPX홀딩스 주식을 아들인 양준영 KPX홀딩스 회장과 개인회사인 씨케이엔터프라이즈에 블록딜 방식으로 매각했습니다. 이 과정에서 씨케이엔터프라이즈는 KPX홀딩스 지분을 늘려 지배구조를 강화했습니다.

용어 설명 : 
*블록딜 : 주식을 대량으로 보유한 매도자가 사전에 매도 물량을 인수할 매수자를 구해 시장에 영향을 미치지 않도록 장이 끝난 이후 지분을 넘기는 거래.
*터널링 : 대기업집단의 총수일가가 계열사 내부거래를 통해, 그룹의 이익을 비상장 개인회사로 이전하는 행위.

기사에서 말하고자 하는 증권 또는 주식의 긍정/부정/중립 : 
KPX그룹의 승계 과정에서 각종 꼼수가 지적되면서 KPX그룹의 주가에 부정적인 영향을 미칠 가능성이 있습니다."
